name,team,1Bprob,2Bprob,3Bprob,HRprob,BA
"John Jaso","Pittsburgh Pirates",0.6471,0.2451,0.0294,0.0784,0.2684
"Jon Jay","San Diego Padres",0.7129,0.2574,0.0099,0.0198,0.2911
"Desmond Jennings","Tampa Bay Rays",0.6250,0.1750,0.0250,0.1750,0.2000
"Kyle Jensen","Arizona Diamondbacks",0.5000,0.0000,0.1667,0.3333,0.1935
"Chris Johnson","Miami Marlins",0.7037,0.2037,0.0000,0.0926,0.2222
"Kelly Johnson","Atlanta Braves",0.7308,0.2308,0.0000,0.0385,0.2149
"Kelly Johnson","New York Mets",0.6531,0.1633,0.0000,0.1837,0.2678
"Adam Jones","Baltimore Orioles",0.7073,0.1159,0.0000,0.1768,0.2649
"Caleb Joseph","Baltimore Orioles",0.8696,0.1304,0.0000,0.0000,0.1742
"Tommy Joseph","Philadelphia Phillies",0.5556,0.1852,0.0000,0.2593,0.2571
"Matthew Joyce","Pittsburgh Pirates",0.5714,0.1786,0.0179,0.2321,0.2424
"Aaron Judge","New York Yankees",0.6000,0.1333,0.0000,0.2667,0.1786
"Jung Ho Kang","Pittsburgh Pirates",0.5062,0.2346,0.0000,0.2593,0.2547
"Scott Kazmir","Los Angeles Dodgers",1.0000,0.0000,0.0000,0.0000,0.1163
"Ty Kelly","New York Mets",0.7857,0.0714,0.0714,0.0714,0.2414
"Matt Kemp","San Diego Padres",0.5607,0.2243,0.0000,0.2150,0.2616
"Matt Kemp","Atlanta Braves",0.5500,0.2500,0.0000,0.2000,0.2804
"Tony Kemp","Houston Astros",0.6923,0.1538,0.1154,0.0385,0.2167
"Howie Kendrick","Los Angeles Dodgers",0.7097,0.2097,0.0161,0.0645,0.2546
"Max Kepler","Minnesota Twins",0.5806,0.2151,0.0215,0.1828,0.2348
"Clayton Kershaw","Los Angeles Dodgers",0.8750,0.1250,0.0000,0.0000,0.1739
