name,team,DASP
"Daniel Mengden","Oakland Athletics",0.006335421686746973
"Ryan Merritt","Cleveland Indians",-0.04535783783783784
"Alex Meyer","Los Angeles Angels of Anaheim",0.04779914893617018
"Wade Miley","Seattle Mariners",-0.032679914712153535
"Wade Miley","Baltimore Orioles",0.019752727272727255
"Andrew Miller","New York Yankees",0.24015441860465117
"Andrew Miller","Cleveland Indians",0.23908194174757283
"Justin Miller","Colorado Rockies",0.024438762886597937
"Shelby Miller","Arizona Diamondbacks",-0.05534608695652174
"Tommy Milone","Minnesota Twins",-0.04996372990353698
"Juan Minaya","Chicago White Sox",-0.07986042553191491
"Ariel Miranda","Seattle Mariners",-0.026524524886877843
"Bryan Mitchell","New York Yankees",-0.104716261682243
"Dustin Molleken","Detroit Tigers",-0.017043809523809544
"Rafael Montero","New York Mets",0.007533763440860208
"Mike Montgomery","Seattle Mariners",0.008479999999999988
"Mike Montgomery","Chicago Cubs",0.024187317073170733
"Matt Moore","Tampa Bay Rays",-0.008977194899817853
"Matt Moore","San Francisco Giants",0.031234325259515555
"Franklin Morales","Toronto Blue Jays",-0.08252000000000001
"Adam Morgan","Philadelphia Phillies",-0.020143274161735697
"Mike Morin","Los Angeles Angels of Anaheim",0.008339030837004408
"A. J. Morris","Cincinnati Reds",-0.01603063829787235
"Bryan Morris","Miami Marlins",-0.031844324324324325
"Brandon Morrow","San Diego Padres",-0.0898729411764706
"Charlie Morton","Philadelphia Phillies",0.06008563380281687
"Jon Moscot","Cincinnati Reds",-0.11228190476190478
"Jason Motte","Colorado Rockies",0.012663486238532112
"Peter Moylan","Kansas City Royals",-0.029509528795811535
"Colton Murray","Philadelphia Phillies",0.010789859154929554
"Joe Musgrove","Houston Astros",0.00732374999999999
"Chris Narveson","Miami Marlins",-0.049625263157894756
"Joe Nathan","San Francisco Giants",0.07025777777777778
"Zach Neal","Oakland Athletics",-0.11143459074733097
"Jimmy Nelson","Milwaukee Brewers",-0.03403796778190832
"Hector Neris","Philadelphia Phillies",0.10345560975609755
"Pat Neshek","Houston Astros",0.024912432432432435
"Juan Nicasio","Pittsburgh Pirates",0.06148584795321635
"Justin Nicolino","Miami Marlins",-0.10058358381502891
"Jonathon Niese","Pittsburgh Pirates",-0.052733849287169066
"Jonathon Niese","New York Mets",0.010661818181818161
"Aaron Nola","Philadelphia Phillies",0.0429975983436853
"Ricky Nolasco","Minnesota Twins",-0.03104941176470588
"Ricky Nolasco","Los Angeles Angels of Anaheim",-0.03165793103448278
"Bud Norris","Atlanta Braves",-0.008184451827242534
"Bud Norris","Los Angeles Dodgers",0.00897484536082474
"Daniel Norris","Detroit Tigers",0.027579337748344368
"Ivan Nova","New York Yankees",-0.02937273159144893
"Ivan Nova","Pittsburgh Pirates",-0.009801368821292789
"Vidal Nuno","Seattle Mariners",-0.0010422672064777372
"Scott Oberg","Colorado Rockies",-0.030528849557522136
"Brett Oberholtzer","Philadelphia Phillies",-0.039378407079646016
"Brett Oberholtzer","Los Angeles Angels of Anaheim",-0.039098947368421066
"Darren O'Day","Baltimore Orioles",0.08255633587786257
"Jake Odorizzi","Tampa Bay Rays",0.0072277360931435886
"Eric O'Flaherty","Atlanta Braves",-0.04575529411764706
"Alexi Ogando","Atlanta Braves",-0.011574054054054067
"Nefi Ogando","Miami Marlins",-0.08444307692307693
"Ross Ohlendorf","Cincinnati Reds",0.026962758620689642
"Seung-hwan Oh","St. Louis Cardinals",0.121553482428115
"Steven Okert","San Francisco Giants",0.03385931034482759
"Logan Ondrusek","Baltimore Orioles",-0.06958896551724139
"Ryan O'Rourke","Minnesota Twins",0.030103762376237603
"Josh Osich","San Francisco Giants",-0.05127000000000001
"Sean O'Sullivan","Boston Red Sox",-0.0748669387755102
"Roberto Osuna","Toronto Blue Jays",0.0772022222222222
"Dan Otero","Cleveland Indians",0.004375910780669123
"Adam Ottavino","Colorado Rockies",0.11958280373831773
"Dillon Overton","Oakland Athletics",-0.07470750000000001
"Henry Owens","Boston Red Sox",-0.0036365048543689493
"Jonathan Papelbon","Washington Nationals",-0.003572631578947383
"Blake Parker","New York Yankees",-0.004817297297297296
"Bobby Parnell","Detroit Tigers",-0.05937185185185187
"Spencer Patton","Chicago Cubs",0.010301782178217811
"James Paxton","Seattle Mariners",0.02144281800391387
